,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
7,meraud-vintage-inspired-watches-with-swiss-movemen,be,Product Design,2018-10-17 11:56:19,1.0,united states,False,1,818.7118695778689,1
11,laser-cut-holiday-greetings,us,Graphic Design,2012-11-15 23:23:06,1.0,united states,False,1,50.794117647058826,2
25,newmark-71-a-classic-british-vintage-dive-watch-reissue,gb,Product Design,2019-06-18 18:29:55,2.0,united kingdom,False,1,418.8056395983691,1
30,a-sum-of-parts-degree-show,gb,Graphic Design,2016-05-23 18:45:38,1.0,united kingdom,False,1,39.02701957090909,2
34,get-djcad-graphic-design-to-new-blood-2015,gb,Graphic Design,2015-06-03 15:11:29,1.0,united kingdom,False,1,159.730383999375,2
36,fruits-basket-kawaii-pin-set,us,Product Design,2019-07-01 21:00:15,2.0,united states,False,1,61.69230769230769,5
37,redoubt-alaskan-apparel,us,Graphic Design,2016-07-19 00:40:46,1.0,united states,False,1,64.31481481481481,2
88,redefining-french-horology-i-totem-automatic-watch-by-laruze,fr,Product Design,2019-06-05 09:47:35,2.0,france,False,1,270.13515908076926,1
97,orbit-watches-minimal-multi-function-watches,gb,Product Design,2019-06-04 08:18:29,2.0,united states,False,1,201.97463785625,1
102,timeless-design-and-high-quality-watches-with-affo,hk,Product Design,2018-08-31 07:22:46,1.0,united states,False,1,98.03586277754238,1
125,a-deck-of-playing-cards-by-pedale-design,us,Graphic Design,2012-10-02 13:30:14,3.0,united states,False,1,36.44863003480856,2
128,magical-enamel-pins-and-stickers,gb,Product Design,2019-07-09 15:40:46,1.0,united kingdom,False,1,17.900222587540984,5
143,ascent-the-super-compressor-classic-skull-automati,sg,Product Design,2018-11-23 10:59:13,2.0,united states,False,1,303.7667315374545,1
144,redesigning-fear-by-publication-design-students-at,us,Graphic Design,2014-04-21 23:47:57,1.0,united states,False,1,24.23076923076923,2
180,fantasy-friends-unicorn-opossum-enamel-pins,us,Product Design,2019-05-01 19:14:24,5.0,united states,False,1,17.434782608695652,5
187,kermit-t-shirts-by-damnation-party,gb,Graphic Design,2019-06-10 15:21:49,1.0,united kingdom,False,1,24.494206923076923,2
194,the-ultimate-explorer-watch-swiss-automatic-diver,ch,Product Design,2018-03-28 09:59:53,1.0,sweden,False,1,596.5353783690476,1
204,the-vintage-horror-tarot,us,Graphic Design,2016-06-03 13:29:18,2.0,united states,False,1,64.76363636363637,2
210,trident-italian-watches-made-for-adventure,it,Product Design,2018-06-28 19:00:08,2.0,united states,False,1,177.3949921859829,1
217,graphic-design-for-architecture,us,Graphic Design,2011-07-13 17:45:16,1.0,united states,False,0,61.6578947368421,2
222,be-a-partner-in-the-triumph-of-nicolet-timepieces,us,Product Design,2019-03-18 21:32:06,1.0,united states,False,1,406.3066666666667,1
224,a-ghibli-love-story-enamel-pins,us,Product Design,2019-06-28 14:51:00,2.0,united states,False,1,45.717791411042946,5
239,halloween-critter-enamel-pins,us,Graphic Design,2017-08-14 22:53:56,14.0,united states,False,1,39.36134453781513,5
250,big-blank-calendar-2014,us,Graphic Design,2013-10-29 21:36:40,2.0,united states,False,0,15.733333333333333,2
256,wild-america-hard-enamel-pins,us,Product Design,2019-04-24 15:07:50,2.0,united states,False,1,28.841059602649008,5
259,ladies-kicking-butt-feminist-shirts-totes-and-more,us,Graphic Design,2017-10-01 20:58:26,1.0,united states,False,1,44.949438202247194,2
260,bright-and-punchy-letterpress-cards,us,Graphic Design,2012-05-08 16:03:41,1.0,united states,False,0,31.0,2
267,be-there-or-be-square,de,Graphic Design,2016-10-16 16:17:19,1.0,united states,False,0,50.07556241454545,2
269,usagi-not-again,ca,Product Design,2019-01-17 15:56:23,2.0,united states,False,1,16.468942276944446,5
272,pocket-chibis-inspired-by-eevee-evolutions,us,Product Design,2018-04-24 20:48:57,4.0,united states,False,1,18.363636363636363,5
274,enamel-panda-pins-and-stickers,us,Graphic Design,2017-10-25 23:12:47,14.0,united states,False,1,16.75,5
289,spinning-pocket-monster-pins,us,Product Design,2019-05-13 17:59:33,5.0,united states,False,0,19.58823529411765,5
294,lunar-new-year-japanese-eeveelutions-dolls-hard-en,us,Graphic Design,2019-02-02 13:48:14,9.0,united states,False,1,36.375,5
319,the-legacy-automatic-watch-designed-for-generation,se,Product Design,2018-10-22 17:08:09,1.0,sweden,False,1,548.2706242386434,1
320,one-man-surf-party-bold-shirts-for-bold-nerds,us,Graphic Design,2013-09-01 15:35:24,1.0,united states,False,1,71.22222222222223,2
323,legacy-playing-cards,us,Graphic Design,2015-10-13 17:48:29,7.0,united states,False,0,41.166666666666664,2
330,us499-real-flying-tourbillon-modern-minimal-design,hk,Product Design,2018-10-04 04:03:32,4.0,united states,False,1,564.46759752504,1
333,hyperion-1,us,Product Design,2019-04-23 20:05:26,3.0,united states,False,1,518.6909090909091,1
341,vintage-inspired-dive-watch-with-eta-2824-2-swiss,se,Product Design,2018-05-01 11:29:42,2.0,netherlands,False,1,463.9998342663114,1
343,valhalla-of-norway-deep-fjord,no,Product Design,2018-07-18 16:02:34,4.0,norway,False,1,330.2280608787692,1
345,playing-cards-the-venture-deck-re-launch-by-gilafi,us,Graphic Design,2015-10-06 17:32:43,3.0,united states,False,1,23.476635514018692,2
352,the-grain-back-card-deck-printed-in-the-uk,gb,Graphic Design,2013-10-30 22:19:40,3.0,united states,False,1,36.04957401098039,2
353,seasons-a-changing-playing-card-series-printed-by,us,Graphic Design,2014-08-27 20:55:43,5.0,united states,False,1,96.31736526946108,2
357,pen-pals-love-letter-enamel-pins-with-bashful-bear-and-poe,us,Product Design,2019-05-28 19:01:49,10.0,united states,False,0,21.256410256410255,5
361,viqueria-levante-hand-wound-racing-watch-assembled,it,Design,2019-03-16 15:59:32,2.0,united states,False,1,324.0491278077083,1
374,inclusive-pride-2019-final-enamel-pins-for-lgbtq-s,us,Product Design,2019-04-11 14:14:11,3.0,united states,False,1,21.537735849056602,5
387,the-mirror-deck,us,Graphic Design,2013-02-14 19:10:38,2.0,united states,False,1,27.96511627906977,2
397,dark-water-300-automatic-dive-watch,us,Product Design,2019-02-05 14:50:35,4.0,united states,False,1,225.86791612686554,1
409,still-mcfly-limited-edition-30th-anniversary-serie,us,Graphic Design,2015-09-25 19:11:13,3.0,united states,False,0,64.35135135135135,2
414,atla-four-nations-enamel-pin-set,ca,Design,2019-04-04 18:59:55,2.0,united states,False,0,25.28390972804667,5
442,vilhelm-talos-bronze-500m-diver,sg,Product Design,2018-02-21 11:59:29,2.0,singapore,False,1,752.7316352573685,1
446,robert-mueller-soft-enamel-pin,us,Graphic Design,2018-11-15 20:17:26,3.0,united states,False,1,17.823529411764707,5
449,unveil-the-invisible-on-a-mechanical-swiss-made-wa,ch,Product Design,2018-09-28 16:01:11,1.0,switzerland,False,1,590.2243526345833,1
472,make-100-mickey-gone-bad-enamel-pins,au,Product Design,2019-03-10 23:03:22,4.0,united states,False,1,24.625076118844444,5
477,help-us-publish-the-football-crest-index-vol2,gb,Graphic Design,2019-02-08 09:37:11,3.0,united kingdom,False,1,47.92941595515152,2
493,gmt-chrono-dual-time-and-automatic-watches,fr,Product Design,2018-11-05 08:57:26,3.0,france,False,1,201.612902975,1
497,metropolis-a-soft-enamel-pin-by-kitycrylics,us,Design,2019-06-27 22:59:34,8.0,united states,False,1,25.176470588235293,5
502,the-shirt-of-frankenstein,us,Graphic Design,2012-02-01 21:29:22,1.0,united states,False,1,50.69162790697674,2
508,instruments-of-war-bicycle-playing-cards-deck,us,Graphic Design,2013-05-31 00:44:31,5.0,united states,False,0,20.30701754385965,2
525,gods-of-mythology-bicycle-playing-cards,us,Graphic Design,2013-07-17 16:03:48,1.0,united states,False,0,19.362491909385113,2
535,will-burtin-neglected-giant-of-design,gb,Graphic Design,2018-04-05 13:51:56,8.0,united states,False,0,110.56487155778895,2
536,sishou-four-beasts-playing-cards-printed-by-uspc,gb,Graphic Design,2013-01-20 18:03:43,3.0,united states,False,0,34.568913156679685,2
539,manchester-watch-works-presents-the-champlain-expl,us,Product Design,2018-12-28 14:46:17,12.0,united states,False,1,296.4886363636364,1
551,hodina-x-minimalissimo-defining-the-archetypal-tim,us,Product Design,2018-07-16 16:46:16,1.0,united states,False,1,159.58666666666667,1
555,paper-dream-studio-stationery-and-accessories,gb,Graphic Design,2016-01-02 15:00:40,1.0,united kingdom,False,0,18.512187435,2
560,swiss-designed-automatic-chrome-minimalistic-watch,au,Product Design,2019-02-16 03:29:47,2.0,singapore,False,1,184.4094596896842,1
562,oh-shib-shiba-inu-doggo-hard-enamel-pin-limited-qu,us,Graphic Design,2019-01-10 20:11:59,9.0,united states,False,1,13.923076923076923,5
581,t-watches-pilot-edition,gb,Product Design,2018-12-10 15:43:59,3.0,united kingdom,False,1,158.76147902142858,1
582,cute-and-fun-greeting-cards-for-all-occasions,gb,Graphic Design,2015-11-05 17:37:05,2.0,united states,False,0,10.79495599,2
590,my-hero-inspired-enamel-pins,us,Product Design,2019-01-27 19:59:58,1.0,united states,False,1,17.02777777777778,5
597,the-tropical-diver-a-solid-bronze-watch-from-tc-9,gb,Product Design,2019-03-14 17:56:12,6.0,united states,False,1,327.81801898550003,1
617,90s-toys-pin-collection,es,Design,2018-08-23 07:28:08,4.0,united states,False,1,19.292825333333333,5
621,generic-greeting-cards,us,Design,2018-08-13 15:59:17,4.0,united states,False,1,22.583333333333332,2
622,native-art-playing-cards,us,Graphic Design,2013-05-22 00:55:30,1.0,united states,False,1,34.62423625254583,2
633,basketball-playing-cards,us,Graphic Design,2015-04-16 20:15:19,1.0,united states,False,0,25.384615384615383,2
636,bts-love-yourself-donut-enamel-pins,us,Product Design,2018-10-30 00:38:43,1.0,united states,False,1,18.08,5
