,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
12,wishes-in-pen-chrysanthemums-in-august-otome-visua,sg,Video Games,2018-08-08 07:09:58,1.0,united states,False,1,46.964499846845875,1
20,order-of-ataxia-initial-effects-visual-novel,us,Video Games,2015-07-21 21:00:20,2.0,united states,False,1,33.774294670846395,1
37,samedi-voodoo-playing-cards-by-uspcc,us,Playing Cards,2018-10-30 15:00:11,1.0,united states,False,1,39.1220556745182,5
39,digital-playing-cards-magma-red,us,Playing Cards,2018-12-19 05:06:39,20.0,united states,False,1,29.848684210526315,5
45,starlight-vega-visual-novel,us,Video Games,2015-04-21 20:45:23,1.0,united states,False,1,22.534412955465587,1
50,royal-alchemist-otome-bl-visual-novel,ch,Video Games,2018-09-12 18:59:04,1.0,united states,False,1,38.889412400655736,1
57,survive-this-vigilante-city-tabletop-roleplaying-g,us,Tabletop Games,2018-06-26 12:45:17,7.0,united states,False,1,37.174785100286535,6
62,53-magicians,gb,Playing Cards,2018-12-09 14:36:11,2.0,united kingdom,False,1,31.147027054891304,5
63,pekocon,hk,Video Games,2018-03-20 13:49:19,1.0,united states,False,1,40.44482031617886,1
64,after-i-met-that-catgirl-my-questlist-got-too-long,be,Video Games,2019-05-29 15:50:26,1.0,united states,False,1,23.979237633560373,1
65,carpe-diem-reboot,ca,Video Games,2016-05-02 14:11:41,1.0,united states,False,1,18.7725514097,1
72,my-burning-heart-bl-yaoi-visual-novel,es,Video Games,2019-02-12 07:16:33,3.0,united states,False,1,19.44073076986111,1
73,orion-a-sci-fi-visual-novel,us,Video Games,2014-08-26 00:04:10,1.0,united states,False,1,36.065714285714286,1
88,quantum-black-dark-designs,us,Tabletop Games,2018-06-08 15:16:54,2.0,united states,False,1,51.40952380952381,6
97,dualis-playing-cards-limited-premium-52-2-cards-poker-deck,fr,Playing Cards,2019-06-10 16:00:09,5.0,united states,False,1,29.664370798621622,5
109,board-gaming-journal,us,Tabletop Games,2018-10-17 22:44:43,7.0,united states,False,1,34.18840579710145,6
113,testament-art-playing-cards-inspired-by-the-bible,gb,Playing Cards,2019-04-22 20:55:18,7.0,united states,False,1,33.582309636086954,5
133,true-level-adventures-for-1e-and-5e-gaming,us,Tabletop Games,2018-09-01 16:59:37,52.0,united states,False,1,23.234567901234566,6
137,creature-feature-quarterly-vol-5-5e-compatible,vn,Tabletop Games,2019-07-11 12:25:12,6.0,united states,False,1,8.194444444444445,6
148,vintage-label-playing-cards-premier-edition-black,au,Playing Cards,2019-05-07 13:00:00,6.0,united states,False,1,81.8508683758983,5
155,ciel-fledge-a-daughter-raising-sim-game,id,Video Games,2018-04-04 16:02:11,1.0,united states,False,1,22.846153846153847,1
162,the-deep-dark-rpg-quickstarter,us,Tabletop Games,2018-08-01 14:38:27,1.0,united states,False,1,15.87912087912088,6
202,seafarers-playing-cards,au,Playing Cards,2019-06-01 14:59:58,8.0,united states,False,1,32.46501225477706,5
220,woodfall-a-mini-hexcrawl-setting,ie,Tabletop Games,2018-07-11 16:28:11,1.0,united states,False,1,17.38901614554,6
229,the-way-of-wicked-sin-zinequest,us,Tabletop Games,2019-02-25 15:04:42,1.0,united states,False,1,30.841463414634145,6
233,bicycle-relic-playing-cards,us,Playing Cards,2019-06-18 17:05:08,1.0,united states,False,0,20.166666666666668,5
235,hidden-love-letters,fr,Video Games,2017-10-10 08:03:54,3.0,united states,False,1,8.005110838867925,1
236,island-of-blight-a-multi-system-fantasy-rpg-advent,us,Tabletop Games,2018-10-17 15:59:30,12.0,united states,False,1,20.787610619469028,6
249,hello-tiki-v2-playing-cards,nz,Playing Cards,2019-01-06 20:00:04,5.0,united states,False,1,53.203625292544515,5
261,brilliant-shadows-an-adventure-romance-visual-nove,us,Video Games,2015-04-17 23:01:21,5.0,united states,False,1,10.033802816901408,1
271,black-magic-playing-cards,us,Playing Cards,2019-04-27 00:10:29,2.0,united states,False,1,21.742857142857144,5
281,liber-ludorum-playing-cards,gb,Playing Cards,2019-05-29 10:48:21,5.0,united states,False,1,30.128104286875,5
