,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
5,the-ilatch-ipad-case-for-ipad-1-and-2,us,Hardware,2011-08-27 14:46:03,2.0,united states,False,1,40.48295454545455,6
7,raspio-gpio-zero-code-reference-ruler-for-raspberr,gb,Hardware,2016-07-19 07:51:13,8.0,united kingdom,False,1,11.990372209324056,0
8,immersing-magazine,us,Web,2015-04-14 01:29:03,1.0,united states,False,1,24.545454545454547,1
16,pi-compute-to-pi-a-b-adaptor,ie,Hardware,2017-04-12 13:11:10,1.0,united states,False,0,29.440906021875,0
21,flatlight,us,Hardware,2013-01-14 16:24:52,1.0,united states,False,1,24.58698539176627,6
56,connecting-lgbt-communities-in-the-east-and-the-we,gb,Web,2017-10-06 21:13:48,1.0,united kingdom,False,1,189.54448373142856,1
60,mint-deeponion-physical-coins,nl,Technology,2018-03-10 14:59:26,1.0,united states,False,1,63.73030268452381,0
61,the-embassy-audio-history-and-multimedia-archive,au,Web,2015-11-19 13:00:31,2.0,australia,False,1,49.26768355915662,1
63,creekkoolertm-pup-the-first-15-qt-tow-behind-float,us,Hardware,2017-11-17 06:03:11,1.0,united states,False,0,104.23255813953489,6
66,ethical-index-tracking-the-morality-of-people-you-know-of,ca,Web,2019-05-21 04:58:49,1.0,united states,False,0,191.54076822276,1
78,crank-juice-box-never-run-out-of-juice,us,Hardware,2017-07-19 15:40:13,1.0,united states,False,1,146.13133640552996,6
80,prodboard-all-in-one-utility-add-on-board-for-rasp,hk,DIY Electronics,2017-08-21 17:30:11,3.0,united states,False,1,55.24873226126126,0
107,ra-3d-printer-controller-by-elefu,us,Hardware,2012-07-09 23:12:24,2.0,united states,False,1,222.9904761904762,0
115,boundaries-not-included-a-website-for-global-educa,us,Web,2015-10-13 16:16:49,1.0,united states,False,1,83.39393939393939,1
131,national-observer-reports-from-the-energy-battlegr,ca,Web,2015-02-13 19:45:30,3.0,canada,False,1,111.63250567876307,1
138,hurricane-katrina-tragedy-and-triumph,us,Web,2016-02-09 22:50:24,1.0,united states,False,1,45.72727272727273,1
162,the-tree-army,us,Web,2017-01-16 19:00:09,1.0,united states,False,0,76.75,1
164,wont-magazine,ca,Web,2017-06-01 20:48:45,1.0,canada,False,0,42.86013057692308,1
170,matchboxarm,gb,Hardware,2013-07-23 19:27:18,1.0,united kingdom,False,1,58.434139861878315,0
171,scribbler-duo-the-worlds-first-dual-nozzle-3d-prin,us,3D Printing,2017-06-16 19:27:22,1.0,united states,False,1,136.892,6
173,make-100-musiccloth-city-map,sg,Technology,2018-01-01 04:35:01,5.0,united states,False,1,30.59240762057143,1
174,5v-to-900v-step-up-converter-module,it,DIY Electronics,2018-08-28 16:15:24,2.0,united states,False,1,46.16872886,0
183,media-diversified-funding-a-new-era-of-writers-of,gb,Web,2018-12-19 10:20:56,1.0,united kingdom,False,1,24.348723246404397,1
197,freeplay-zero-freeplay-cm3-by-freeplaytech,us,DIY Electronics,2017-06-05 16:28:15,1.0,united states,False,1,138.57798165137615,0
198,usb-shoe-rpi-zero-hub-without-wires-and-no-solder,es,Hardware,2016-02-25 16:03:15,2.0,united states,False,1,32.8689284614966,0
203,berlin1000-mobiledock-with-power-supply-for-macboo,de,Hardware,2016-05-17 07:51:30,1.0,germany,False,0,129.144907478,6
210,spectrum-culture-new-server-and-look,us,Web,2015-02-24 18:40:47,1.0,united states,False,1,34.375,1
214,it-issue-dice,us,Hardware,2018-04-25 14:36:20,16.0,united states,False,1,21.85590277777778,0
230,the-river-a-community-newsroom,us,Web,2018-11-01 19:20:37,1.0,united states,False,1,114.45077720207254,1
239,daisychainusb-multi-usb-adapter-splitter-for-apple,us,Hardware,2015-04-11 20:09:18,2.0,united states,False,0,43.11764705882353,6
248,pawatch-ultimate-charging-solution-for-apple-watch,hk,Gadgets,2017-10-06 08:45:40,1.0,hong kong,False,1,136.012229395,6
284,the-world-documents,us,Web,2019-02-11 20:40:51,1.0,united states,False,1,11.755291030425,1
289,multi-function-ssd-shield-for-the-raspberry-pi-2,us,Hardware,2015-11-25 14:23:54,3.0,united states,False,1,77.2295918367347,0
292,smart-io-expansion-card-for-raspberry-pi,us,Hardware,2013-04-25 19:45:34,3.0,united states,False,1,166.66655913978494,0
295,wallchum-dual-21-amp-usb-charger-w-accent-light-wa,us,Hardware,2015-11-25 00:47:14,1.0,united states,False,0,28.681818181818183,6
306,grow-bigger-healthier-vegetables-with-miracle-stak,us,Hardware,2014-04-15 23:45:39,2.0,united states,False,1,48.67763157894737,6
307,olink-the-first-fast-charging-usb-c-multiport-adap,us,Hardware,2015-12-16 13:55:04,1.0,united states,False,0,70.48559322033897,6
311,papilio-duo-drag-and-drop-fpga-circuit-lab-for-mak,us,Hardware,2014-05-28 12:00:25,3.0,united states,False,1,139.0420177383592,0
315,chainduino,us,Hardware,2014-07-24 11:39:04,1.0,united states,False,1,83.4931506849315,0
320,excontrol-shield-industrial-arduino-mkr,es,DIY Electronics,2017-11-21 14:52:10,1.0,spain,False,1,203.72146185076923,0
323,echo-fuel-make-echo-portable-with-universal-chargi,us,Hardware,2017-11-04 18:46:50,1.0,united states,False,0,353.0833333333333,6
327,balanduino-balancing-robot-kit,dk,Hardware,2013-03-18 21:56:08,1.0,united states,False,1,201.4076119402985,0
328,revowire-the-last-charging-cable-youll-ever-need,us,Technology,2018-09-19 14:03:49,1.0,denmark,False,1,37.76809523809524,6
329,civil-dissent-a-magazine-for-and-by-disillusioned,us,Web,2016-11-11 18:21:10,1.0,united states,False,1,30.384615384615383,1
336,never-ending-day,us,Web,2017-01-17 22:37:21,1.0,united states,False,0,26.818181818181817,1
343,tinyjuice-the-smallest-self-adhesive-true-wireless,ca,Gadgets,2018-11-02 15:08:16,1.0,united states,False,1,36.01406032203206,6
351,candle-by-atbay-be-less-distracted-by-your-phone,us,Hardware,2018-10-02 12:17:35,1.0,united states,False,1,72.05594405594405,6
371,inside-the-temple,nz,Web,2019-01-06 05:23:50,1.0,australia,False,0,158.01036554608234,1
389,pyduino-arduino-the-python-way,us,Hardware,2016-10-11 12:35:51,1.0,united states,False,1,65.08490566037736,0
395,dede-debug-and-development-shield-for-arduinos-and,us,DIY Electronics,2018-07-09 19:02:56,1.0,united states,False,1,64.57466063348416,0
402,mojo-digital-design-for-the-hobbyist,us,Hardware,2013-02-21 23:42:41,1.0,united states,False,1,74.10768436578171,0
404,lilypad-using-light-to-power-all-our-mobile-device,us,Hardware,2011-08-29 00:33:58,2.0,united states,False,1,191.0091407678245,6
405,coaction-hero-32-bit-open-source-arm-cortex-m3-boa,us,Hardware,2013-04-23 04:07:24,1.0,united states,False,1,55.806451612903224,0
410,gpio-breakout-extended,ch,DIY Electronics,2019-02-13 14:25:54,2.0,united states,False,1,24.823624024957265,0
412,the-black-and-white-collective,us,Web,2019-01-12 01:52:23,1.0,united states,False,1,62.1764705882353,1
428,lignite-collection-for-pebble-quality-watchfaces-a,ca,Software,2015-03-29 16:16:44,1.0,united states,False,1,4.846751031843622,0
433,gem-8-retro-8-bit-computer-and-chiptune-synthesize,us,Hardware,2016-03-15 20:35:25,7.0,united states,False,0,84.58,0
438,crowdlobby-giving-everyday-americans-access-to-lob,us,Web,2018-06-09 13:07:01,1.0,united states,False,1,203.63372093023256,1
459,uart-hat-extra-124-uart-for-raspberry-pi-zero-b-2b,gb,Hardware,2016-09-16 13:07:42,5.0,united states,False,1,57.62178536535714,0
470,breadboard-shield-adapter-for-microcontrollers-or,us,Hardware,2012-10-12 13:07:48,5.0,united states,False,1,40.45283018867924,0
479,the-hiking-initiative-hits-the-road,us,Web,2016-11-20 03:18:52,3.0,united states,False,0,5.2,1
486,neutrino-30-the-32-bit-arduino-zero-compatible,us,DIY Electronics,2017-11-22 17:05:13,14.0,united states,False,1,47.85263157894737,0
509,the-wie-network,us,Web,2015-01-13 19:27:12,1.0,united states,False,1,115.13157894736842,1
512,physical-skycoin-limited-edition-collectable-coin,be,Gadgets,2018-04-11 11:00:01,1.0,united states,False,1,165.15032391923074,0
522,swirling-batfish,es,Gadgets,2018-06-28 17:41:39,1.0,germany,False,1,295.6151366892308,0
524,grp-apple-pencil-clip-for-2018-ipad-pro,us,Gadgets,2018-12-04 18:00:10,1.0,united states,False,1,10.298828125,6
544,qi-wireless-battery-for-x-box-one-one-s-gamepad,fr,Hardware,2017-06-27 15:42:15,1.0,france,False,0,45.980306064000004,6
551,the-polymath-pdf-magazine,us,Web,2015-03-07 14:31:33,1.0,united states,False,1,70.67567567567568,1
558,take-a-stand-the-online-event,us,Web,2015-09-11 01:26:39,1.0,united states,False,1,105.83486111111111,1
562,the-arduino-compatible-42-digit-spi-keypad-matrix,ca,DIY Electronics,2017-04-18 16:39:17,30.0,united states,False,1,30.180216907142857,0
565,sensordots-port-muxr-a-kvm-switch-but-for-electron,au,DIY Electronics,2019-03-03 06:28:29,1.0,united states,False,1,95.86546151607368,0
575,sludge-people-powered-journalism-to-follow-the-oil,us,Web,2019-03-08 17:08:36,1.0,united states,False,1,54.79209979209979,1
576,nero-an-energy-efficient-arduino-uno-compatible-de,sg,Hardware,2015-12-09 14:40:44,1.0,united states,False,1,28.508119113,0
592,six-months-a-saint,za,Web,2016-09-16 14:29:22,1.0,united states,False,0,49.59016393442623,1
595,tripwoman,de,Web,2018-03-16 14:50:23,1.0,spain,False,0,44.52066227175,1
597,bolthub-worlds-first-invisible-usb-c-hub-for-ipad,us,Gadgets,2019-05-06 13:53:42,2.0,united states,False,1,63.30113977204559,6
613,mini-i2c-oled,us,Hardware,2012-03-26 16:21:51,1.0,united states,False,1,44.715053763440864,0
629,power-all-your-tech-with-wen,hk,Gadgets,2019-04-29 12:08:46,1.0,united states,False,1,102.5730203298969,6
634,global-nation-reporting-fund,us,Web,2016-03-08 22:34:51,1.0,united states,False,1,77.29245283018868,1
636,the-new-russian-life,us,Web,2018-06-27 19:29:25,7.0,united states,False,1,89.93037974683544,1
642,showskimagcom,us,Web,2014-10-29 17:37:11,1.0,united states,False,1,98.17073170731707,1
646,updated-24-pin-basic-controller,us,DIY Electronics,2017-10-24 23:05:04,1.0,united states,False,1,48.67272727272727,0
662,voices-for-biodiversity,us,Web,2016-11-22 14:32:34,1.0,united states,False,1,165.66129032258064,1
680,mag4life-fantastic-magnetic-usb-c-and-tb3-connector,de,Hardware,2019-07-25 17:59:26,1.0,germany,False,0,40.93571152066667,6
733,hopperstand-multi-functional-bag-holder-and-utilit,us,Hardware,2018-02-02 18:28:40,1.0,united states,False,0,36.206896551724135,6
736,urmo-your-ultra-light-foldable-urban-electric-vehi,de,Hardware,2018-10-08 16:58:53,1.0,germany,False,1,1045.4414442017044,6
738,the-classical,us,Web,2011-08-15 14:35:48,1.0,united states,False,1,51.96151401869159,1
